"County","FIPS","Year","Gender","Age Cohort","Variable","Measure Type","Value"
"Connecticut","09",2015,"All","65 to 69 years","Projected Population","Number",188365
"Connecticut","09",2015,"All","65 to 69 years","Projected Population","Percent",5.17
"Connecticut","09",2015,"All","70 to 74 years","Projected Population","Number",134149
"Connecticut","09",2015,"All","70 to 74 years","Projected Population","Percent",3.68
"Connecticut","09",2015,"All","75 to 79 years","Projected Population","Number",92183
"Connecticut","09",2015,"All","75 to 79 years","Projected Population","Percent",2.53
"Connecticut","09",2015,"All","80 to 84 years","Projected Population","Number",72987
"Connecticut","09",2015,"All","80 to 84 years","Projected Population","Percent",2
"Connecticut","09",2015,"All","85 to 89 years","Projected Population","Number",55585
"Connecticut","09",2015,"All","85 to 89 years","Projected Population","Percent",1.53
"Connecticut","09",2015,"All","90 years and Over","Projected Population","Number",38976
"Connecticut","09",2015,"All","90 years and Over","Projected Population","Percent",1.07
"Connecticut","09",2015,"Female","Total","Projected Population","Number",1867944
"Connecticut","09",2015,"Female","Total","Projected Population","Percent",51.25
"Connecticut","09",2015,"Female","0 to 4 years","Projected Population","Number",93177
"Connecticut","09",2015,"Female","0 to 4 years","Projected Population","Percent",4.99
"Connecticut","09",2015,"Female","5 to 9 years","Projected Population","Number",99273
"Connecticut","09",2015,"Female","5 to 9 years","Projected Population","Percent",5.31
"Connecticut","09",2015,"Female","10 to 14 years","Projected Population","Number",112483
"Connecticut","09",2015,"Female","10 to 14 years","Projected Population","Percent",6.02
"Connecticut","09",2015,"Female","15 to 19 years","Projected Population","Number",131156
"Connecticut","09",2015,"Female","15 to 19 years","Projected Population","Percent",7.02
"Connecticut","09",2015,"Female","20 to 24 years","Projected Population","Number",112959
"Connecticut","09",2015,"Female","20 to 24 years","Projected Population","Percent",6.05
"Connecticut","09",2015,"Female","25 to 29 years","Projected Population","Number",95652
"Connecticut","09",2015,"Female","25 to 29 years","Projected Population","Percent",5.12
"Connecticut","09",2015,"Female","30 to 34 years","Projected Population","Number",113689
"Connecticut","09",2015,"Female","30 to 34 years","Projected Population","Percent",6.09
"Connecticut","09",2015,"Female","35 to 39 years","Projected Population","Number",111662
"Connecticut","09",2015,"Female","35 to 39 years","Projected Population","Percent",5.98
"Connecticut","09",2015,"Female","40 to 44 years","Projected Population","Number",119261
"Connecticut","09",2015,"Female","40 to 44 years","Projected Population","Percent",6.38
"Connecticut","09",2015,"Female","45 to 49 years","Projected Population","Number",137020
"Connecticut","09",2015,"Female","45 to 49 years","Projected Population","Percent",7.34
"Connecticut","09",2015,"Female","50 to 54 years","Projected Population","Number",148911
"Connecticut","09",2015,"Female","50 to 54 years","Projected Population","Percent",7.97
"Connecticut","09",2015,"Female","55 to 59 years","Projected Population","Number",143265
"Connecticut","09",2015,"Female","55 to 59 years","Projected Population","Percent",7.67
"Connecticut","09",2015,"Female","60 to 64 years","Projected Population","Number",118994
"Connecticut","09",2015,"Female","60 to 64 years","Projected Population","Percent",6.37
"Connecticut","09",2015,"Female","65 to 69 years","Projected Population","Number",99436
"Connecticut","09",2015,"Female","65 to 69 years","Projected Population","Percent",5.32
"Connecticut","09",2015,"Female","70 to 74 years","Projected Population","Number",72312
"Connecticut","09",2015,"Female","70 to 74 years","Projected Population","Percent",3.87
"Connecticut","09",2015,"Female","75 to 79 years","Projected Population","Number",52072
"Connecticut","09",2015,"Female","75 to 79 years","Projected Population","Percent",2.79
"Connecticut","09",2015,"Female","80 to 84 years","Projected Population","Number",43387
"Connecticut","09",2015,"Female","80 to 84 years","Projected Population","Percent",2.32
"Connecticut","09",2015,"Female","85 to 89 years","Projected Population","Number",35306
"Connecticut","09",2015,"Female","85 to 89 years","Projected Population","Percent",1.89
"Connecticut","09",2015,"Female","90 years and Over","Projected Population","Number",27929
"Connecticut","09",2015,"Female","90 years and Over","Projected Population","Percent",1.5
"Connecticut","09",2015,"Male","Total","Projected Population","Number",1776601
"Connecticut","09",2015,"Male","Total","Projected Population","Percent",48.75
"Connecticut","09",2015,"Male","0 to 4 years","Projected Population","Number",97846
"Connecticut","09",2015,"Male","0 to 4 years","Projected Population","Percent",5.51
"Connecticut","09",2015,"Male","5 to 9 years","Projected Population","Number",104202
"Connecticut","09",2015,"Male","5 to 9 years","Projected Population","Percent",5.87
"Connecticut","09",2015,"Male","10 to 14 years","Projected Population","Number",117265
"Connecticut","09",2015,"Male","10 to 14 years","Projected Population","Percent",6.6
"Connecticut","09",2015,"Male","15 to 19 years","Projected Population","Number",136379
"Connecticut","09",2015,"Male","15 to 19 years","Projected Population","Percent",7.68
"Connecticut","09",2015,"Male","20 to 24 years","Projected Population","Number",124563
"Connecticut","09",2015,"Male","20 to 24 years","Projected Population","Percent",7.01
"Connecticut","09",2015,"Male","25 to 29 years","Projected Population","Number",98694
"Connecticut","09",2015,"Male","25 to 29 years","Projected Population","Percent",5.56
"Connecticut","09",2015,"Male","30 to 34 years","Projected Population","Number",111382
"Connecticut","09",2015,"Male","30 to 34 years","Projected Population","Percent",6.27
"Connecticut","09",2015,"Male","35 to 39 years","Projected Population","Number",107260
"Connecticut","09",2015,"Male","35 to 39 years","Projected Population","Percent",6.04
"Connecticut","09",2015,"Male","40 to 44 years","Projected Population","Number",112454
"Connecticut","09",2015,"Male","40 to 44 years","Projected Population","Percent",6.33
"Connecticut","09",2015,"Male","45 to 49 years","Projected Population","Number",128694
"Connecticut","09",2015,"Male","45 to 49 years","Projected Population","Percent",7.24
"Connecticut","09",2015,"Male","50 to 54 years","Projected Population","Number",140136
"Connecticut","09",2015,"Male","50 to 54 years","Projected Population","Percent",7.89
"Connecticut","09",2015,"Male","55 to 59 years","Projected Population","Number",135507
"Connecticut","09",2015,"Male","55 to 59 years","Projected Population","Percent",7.63
"Connecticut","09",2015,"Male","60 to 64 years","Projected Population","Number",110416
"Connecticut","09",2015,"Male","60 to 64 years","Projected Population","Percent",6.22
"Connecticut","09",2015,"Male","65 to 69 years","Projected Population","Number",88929
"Connecticut","09",2015,"Male","65 to 69 years","Projected Population","Percent",5.01
"Connecticut","09",2015,"Male","70 to 74 years","Projected Population","Number",61837
"Connecticut","09",2015,"Male","70 to 74 years","Projected Population","Percent",3.48
"Connecticut","09",2015,"Male","75 to 79 years","Projected Population","Number",40111
"Connecticut","09",2015,"Male","75 to 79 years","Projected Population","Percent",2.26
"Connecticut","09",2015,"Male","80 to 84 years","Projected Population","Number",29600
"Connecticut","09",2015,"Male","80 to 84 years","Projected Population","Percent",1.67
"Connecticut","09",2015,"Male","85 to 89 years","Projected Population","Number",20279
"Connecticut","09",2015,"Male","85 to 89 years","Projected Population","Percent",1.14
"Connecticut","09",2015,"Male","90 years and Over","Projected Population","Number",11047
"Connecticut","09",2015,"Male","90 years and Over","Projected Population","Percent",0.62
"Connecticut","09",2020,"All","Total","Projected Population","Number",3702469
"Connecticut","09",2020,"All","Total","Projected Population","Percent",100
"Connecticut","09",2020,"All","0 to 4 years","Projected Population","Number",192338
"Connecticut","09",2020,"All","0 to 4 years","Projected Population","Percent",5.19
"Connecticut","09",2020,"All","5 to 9 years","Projected Population","Number",192393
"Connecticut","09",2020,"All","5 to 9 years","Projected Population","Percent",5.2
"Connecticut","09",2020,"All","10 to 14 years","Projected Population","Number",210658
"Connecticut","09",2020,"All","10 to 14 years","Projected Population","Percent",5.69
"Connecticut","09",2020,"All","15 to 19 years","Projected Population","Number",257026
"Connecticut","09",2020,"All","15 to 19 years","Projected Population","Percent",6.94
"Connecticut","09",2020,"All","20 to 24 years","Projected Population","Number",254152
"Connecticut","09",2020,"All","20 to 24 years","Projected Population","Percent",6.86
"Connecticut","09",2020,"All","25 to 29 years","Projected Population","Number",203907
"Connecticut","09",2020,"All","25 to 29 years","Projected Population","Percent",5.51
"Connecticut","09",2020,"All","30 to 34 years","Projected Population","Number",205349
"Connecticut","09",2020,"All","30 to 34 years","Projected Population","Percent",5.55
"Connecticut","09",2020,"All","35 to 39 years","Projected Population","Number",237672
"Connecticut","09",2020,"All","35 to 39 years","Projected Population","Percent",6.42
"Connecticut","09",2020,"All","40 to 44 years","Projected Population","Number",228279
"Connecticut","09",2020,"All","40 to 44 years","Projected Population","Percent",6.17
"Connecticut","09",2020,"All","45 to 49 years","Projected Population","Number",235689
"Connecticut","09",2020,"All","45 to 49 years","Projected Population","Percent",6.37
"Connecticut","09",2020,"All","50 to 54 years","Projected Population","Number",263876
"Connecticut","09",2020,"All","50 to 54 years","Projected Population","Percent",7.13
"Connecticut","09",2020,"All","55 to 59 years","Projected Population","Number",283385
"Connecticut","09",2020,"All","55 to 59 years","Projected Population","Percent",7.65
"Connecticut","09",2020,"All","60 to 64 years","Projected Population","Number",266730
"Connecticut","09",2020,"All","60 to 64 years","Projected Population","Percent",7.2
"Connecticut","09",2020,"All","65 to 69 years","Projected Population","Number",213184
"Connecticut","09",2020,"All","65 to 69 years","Projected Population","Percent",5.76
"Connecticut","09",2020,"All","70 to 74 years","Projected Population","Number",170200
"Connecticut","09",2020,"All","70 to 74 years","Projected Population","Percent",4.6
"Connecticut","09",2020,"All","75 to 79 years","Projected Population","Number",117316
"Connecticut","09",2020,"All","75 to 79 years","Projected Population","Percent",3.17
"Connecticut","09",2020,"All","80 to 84 years","Projected Population","Number",75410
"Connecticut","09",2020,"All","80 to 84 years","Projected Population","Percent",2.04
"Connecticut","09",2020,"All","85 to 89 years","Projected Population","Number",52345
"Connecticut","09",2020,"All","85 to 89 years","Projected Population","Percent",1.41
"Connecticut","09",2020,"All","90 years and Over","Projected Population","Number",42560
"Connecticut","09",2020,"All","90 years and Over","Projected Population","Percent",1.15
"Connecticut","09",2020,"Female","Total","Projected Population","Number",1896225
"Connecticut","09",2020,"Female","Total","Projected Population","Percent",51.22
"Connecticut","09",2020,"Female","0 to 4 years","Projected Population","Number",93820
"Connecticut","09",2020,"Female","0 to 4 years","Projected Population","Percent",4.95
"Connecticut","09",2020,"Female","5 to 9 years","Projected Population","Number",93820
"Connecticut","09",2020,"Female","5 to 9 years","Projected Population","Percent",4.95
"Connecticut","09",2020,"Female","10 to 14 years","Projected Population","Number",102951
"Connecticut","09",2020,"Female","10 to 14 years","Projected Population","Percent",5.43
"Connecticut","09",2020,"Female","15 to 19 years","Projected Population","Number",126301
"Connecticut","09",2020,"Female","15 to 19 years","Projected Population","Percent",6.66
"Connecticut","09",2020,"Female","20 to 24 years","Projected Population","Number",122214
"Connecticut","09",2020,"Female","20 to 24 years","Projected Population","Percent",6.45
"Connecticut","09",2020,"Female","25 to 29 years","Projected Population","Number",97825
"Connecticut","09",2020,"Female","25 to 29 years","Projected Population","Percent",5.16
"Connecticut","09",2020,"Female","30 to 34 years","Projected Population","Number",103198
"Connecticut","09",2020,"Female","30 to 34 years","Projected Population","Percent",5.44
"Connecticut","09",2020,"Female","35 to 39 years","Projected Population","Number",121123
"Connecticut","09",2020,"Female","35 to 39 years","Projected Population","Percent",6.39
"Connecticut","09",2020,"Female","40 to 44 years","Projected Population","Number",117176
"Connecticut","09",2020,"Female","40 to 44 years","Projected Population","Percent",6.18
"Connecticut","09",2020,"Female","45 to 49 years","Projected Population","Number",121908
"Connecticut","09",2020,"Female","45 to 49 years","Projected Population","Percent",6.43
"Connecticut","09",2020,"Female","50 to 54 years","Projected Population","Number",136558
"Connecticut","09",2020,"Female","50 to 54 years","Projected Population","Percent",7.2
"Connecticut","09",2020,"Female","55 to 59 years","Projected Population","Number",146750
"Connecticut","09",2020,"Female","55 to 59 years","Projected Population","Percent",7.74
"Connecticut","09",2020,"Female","60 to 64 years","Projected Population","Number",138322
"Connecticut","09",2020,"Female","60 to 64 years","Projected Population","Percent",7.29
"Connecticut","09",2020,"Female","65 to 69 years","Projected Population","Number",111571
"Connecticut","09",2020,"Female","65 to 69 years","Projected Population","Percent",5.88
"Connecticut","09",2020,"Female","70 to 74 years","Projected Population","Number",91406
"Connecticut","09",2020,"Female","70 to 74 years","Projected Population","Percent",4.82
"Connecticut","09",2020,"Female","75 to 79 years","Projected Population","Number",64649
"Connecticut","09",2020,"Female","75 to 79 years","Projected Population","Percent",3.41
"Connecticut","09",2020,"Female","80 to 84 years","Projected Population","Number",44049
"Connecticut","09",2020,"Female","80 to 84 years","Projected Population","Percent",2.32
"Connecticut","09",2020,"Female","85 to 89 years","Projected Population","Number",32609
"Connecticut","09",2020,"Female","85 to 89 years","Projected Population","Percent",1.72
"Connecticut","09",2020,"Female","90 years and Over","Projected Population","Number",29975
"Connecticut","09",2020,"Female","90 years and Over","Projected Population","Percent",1.58
"Connecticut","09",2020,"Male","Total","Projected Population","Number",1806244
"Connecticut","09",2020,"Male","Total","Projected Population","Percent",48.78
"Connecticut","09",2020,"Male","0 to 4 years","Projected Population","Number",98518
"Connecticut","09",2020,"Male","0 to 4 years","Projected Population","Percent",5.45
"Connecticut","09",2020,"Male","5 to 9 years","Projected Population","Number",98573
"Connecticut","09",2020,"Male","5 to 9 years","Projected Population","Percent",5.46
"Connecticut","09",2020,"Male","10 to 14 years","Projected Population","Number",107707
"Connecticut","09",2020,"Male","10 to 14 years","Projected Population","Percent",5.96
"Connecticut","09",2020,"Male","15 to 19 years","Projected Population","Number",130725
"Connecticut","09",2020,"Male","15 to 19 years","Projected Population","Percent",7.24
"Connecticut","09",2020,"Male","20 to 24 years","Projected Population","Number",131938
"Connecticut","09",2020,"Male","20 to 24 years","Projected Population","Percent",7.3
"Connecticut","09",2020,"Male","25 to 29 years","Projected Population","Number",106082
"Connecticut","09",2020,"Male","25 to 29 years","Projected Population","Percent",5.87
"Connecticut","09",2020,"Male","30 to 34 years","Projected Population","Number",102151
"Connecticut","09",2020,"Male","30 to 34 years","Projected Population","Percent",5.66
"Connecticut","09",2020,"Male","35 to 39 years","Projected Population","Number",116549
"Connecticut","09",2020,"Male","35 to 39 years","Projected Population","Percent",6.45
"Connecticut","09",2020,"Male","40 to 44 years","Projected Population","Number",111103
"Connecticut","09",2020,"Male","40 to 44 years","Projected Population","Percent",6.15
"Connecticut","09",2020,"Male","45 to 49 years","Projected Population","Number",113781
"Connecticut","09",2020,"Male","45 to 49 years","Projected Population","Percent",6.3
"Connecticut","09",2020,"Male","50 to 54 years","Projected Population","Number",127318
"Connecticut","09",2020,"Male","50 to 54 years","Projected Population","Percent",7.05
"Connecticut","09",2020,"Male","55 to 59 years","Projected Population","Number",136635
"Connecticut","09",2020,"Male","55 to 59 years","Projected Population","Percent",7.56
"Connecticut","09",2020,"Male","60 to 64 years","Projected Population","Number",128408
"Connecticut","09",2020,"Male","60 to 64 years","Projected Population","Percent",7.11
"Connecticut","09",2020,"Male","65 to 69 years","Projected Population","Number",101613
"Connecticut","09",2020,"Male","65 to 69 years","Projected Population","Percent",5.63
"Connecticut","09",2020,"Male","70 to 74 years","Projected Population","Number",78794
"Connecticut","09",2020,"Male","70 to 74 years","Projected Population","Percent",4.36
"Connecticut","09",2020,"Male","75 to 79 years","Projected Population","Number",52667
"Connecticut","09",2020,"Male","75 to 79 years","Projected Population","Percent",2.92
"Connecticut","09",2020,"Male","80 to 84 years","Projected Population","Number",31361
"Connecticut","09",2020,"Male","80 to 84 years","Projected Population","Percent",1.74
"Connecticut","09",2020,"Male","85 to 89 years","Projected Population","Number",19736
"Connecticut","09",2020,"Male","85 to 89 years","Projected Population","Percent",1.09
"Connecticut","09",2020,"Male","90 years and Over","Projected Population","Number",12585
"Connecticut","09",2020,"Male","90 years and Over","Projected Population","Percent",0.7
"Connecticut","09",2025,"All","Total","Projected Population","Number",3746181
"Connecticut","09",2025,"All","Total","Projected Population","Percent",100
"Connecticut","09",2025,"All","0 to 4 years","Projected Population","Number",191614
"Connecticut","09",2025,"All","0 to 4 years","Projected Population","Percent",5.11
"Connecticut","09",2025,"All","5 to 9 years","Projected Population","Number",193709
"Connecticut","09",2025,"All","5 to 9 years","Projected Population","Percent",5.17
"Connecticut","09",2025,"All","10 to 14 years","Projected Population","Number",199580
"Connecticut","09",2025,"All","10 to 14 years","Projected Population","Percent",5.33
"Connecticut","09",2025,"All","15 to 19 years","Projected Population","Number",237952
"Connecticut","09",2025,"All","15 to 19 years","Projected Population","Percent",6.35
"Connecticut","09",2025,"All","20 to 24 years","Projected Population","Number",243679
"Connecticut","09",2025,"All","20 to 24 years","Projected Population","Percent",6.5
"Connecticut","09",2025,"All","25 to 29 years","Projected Population","Number",220475
"Connecticut","09",2025,"All","25 to 29 years","Projected Population","Percent",5.89
"Connecticut","09",2025,"All","30 to 34 years","Projected Population","Number",214863
"Connecticut","09",2025,"All","30 to 34 years","Projected Population","Percent",5.74
"Connecticut","09",2025,"All","35 to 39 years","Projected Population","Number",218032
"Connecticut","09",2025,"All","35 to 39 years","Projected Population","Percent",5.82
"Connecticut","09",2025,"All","40 to 44 years","Projected Population","Number",246896
"Connecticut","09",2025,"All","40 to 44 years","Projected Population","Percent",6.59
"Connecticut","09",2025,"All","45 to 49 years","Projected Population","Number",232312
"Connecticut","09",2025,"All","45 to 49 years","Projected Population","Percent",6.2
"Connecticut","09",2025,"All","50 to 54 years","Projected Population","Number",234294
"Connecticut","09",2025,"All","50 to 54 years","Projected Population","Percent",6.25
"Connecticut","09",2025,"All","55 to 59 years","Projected Population","Number",258744
"Connecticut","09",2025,"All","55 to 59 years","Projected Population","Percent",6.91
"Connecticut","09",2025,"All","60 to 64 years","Projected Population","Number",271183
"Connecticut","09",2025,"All","60 to 64 years","Projected Population","Percent",7.24
"Connecticut","09",2025,"All","65 to 69 years","Projected Population","Number",248600
"Connecticut","09",2025,"All","65 to 69 years","Projected Population","Percent",6.64
"Connecticut","09",2025,"All","70 to 74 years","Projected Population","Number",193126
"Connecticut","09",2025,"All","70 to 74 years","Projected Population","Percent",5.16
"Connecticut","09",2025,"All","75 to 79 years","Projected Population","Number",149002
"Connecticut","09",2025,"All","75 to 79 years","Projected Population","Percent",3.98
"Connecticut","09",2025,"All","80 to 84 years","Projected Population","Number",95726
"Connecticut","09",2025,"All","80 to 84 years","Projected Population","Percent",2.56
"Connecticut","09",2025,"All","85 to 89 years","Projected Population","Number",54101
"Connecticut","09",2025,"All","85 to 89 years","Projected Population","Percent",1.44
"Connecticut","09",2025,"All","90 years and Over","Projected Population","Number",42293
"Connecticut","09",2025,"All","90 years and Over","Projected Population","Percent",1.13
"Connecticut","09",2025,"Female","Total","Projected Population","Number",1918862
"Connecticut","09",2025,"Female","Total","Projected Population","Percent",51.22
"Connecticut","09",2025,"Female","0 to 4 years","Projected Population","Number",93465
"Connecticut","09",2025,"Female","0 to 4 years","Projected Population","Percent",4.87
"Connecticut","09",2025,"Female","5 to 9 years","Projected Population","Number",94463
"Connecticut","09",2025,"Female","5 to 9 years","Projected Population","Percent",4.92
"Connecticut","09",2025,"Female","10 to 14 years","Projected Population","Number",97499
"Connecticut","09",2025,"Female","10 to 14 years","Projected Population","Percent",5.08
"Connecticut","09",2025,"Female","15 to 19 years","Projected Population","Number",116776
"Connecticut","09",2025,"Female","15 to 19 years","Projected Population","Percent",6.09
"Connecticut","09",2025,"Female","20 to 24 years","Projected Population","Number",117367
"Connecticut","09",2025,"Female","20 to 24 years","Projected Population","Percent",6.12
"Connecticut","09",2025,"Female","25 to 29 years","Projected Population","Number",107067
"Connecticut","09",2025,"Female","25 to 29 years","Projected Population","Percent",5.58
"Connecticut","09",2025,"Female","30 to 34 years","Projected Population","Number",105372
"Connecticut","09",2025,"Female","30 to 34 years","Projected Population","Percent",5.49
"Connecticut","09",2025,"Female","35 to 39 years","Projected Population","Number",110660
"Connecticut","09",2025,"Female","35 to 39 years","Projected Population","Percent",5.77
"Connecticut","09",2025,"Female","40 to 44 years","Projected Population","Number",126588
"Connecticut","09",2025,"Female","40 to 44 years","Projected Population","Percent",6.6
"Connecticut","09",2025,"Female","45 to 49 years","Projected Population","Number",119851
"Connecticut","09",2025,"Female","45 to 49 years","Projected Population","Percent",6.25
"Connecticut","09",2025,"Female","50 to 54 years","Projected Population","Number",121614
"Connecticut","09",2025,"Female","50 to 54 years","Projected Population","Percent",6.34
"Connecticut","09",2025,"Female","55 to 59 years","Projected Population","Number",134585
"Connecticut","09",2025,"Female","55 to 59 years","Projected Population","Percent",7.01
"Connecticut","09",2025,"Female","60 to 64 years","Projected Population","Number",141712
"Connecticut","09",2025,"Female","60 to 64 years","Projected Population","Percent",7.39
"Connecticut","09",2025,"Female","65 to 69 years","Projected Population","Number",130092
"Connecticut","09",2025,"Female","65 to 69 years","Projected Population","Percent",6.78
"Connecticut","09",2025,"Female","70 to 74 years","Projected Population","Number",102773
"Connecticut","09",2025,"Female","70 to 74 years","Projected Population","Percent",5.36
"Connecticut","09",2025,"Female","75 to 79 years","Projected Population","Number",81769
"Connecticut","09",2025,"Female","75 to 79 years","Projected Population","Percent",4.26
"Connecticut","09",2025,"Female","80 to 84 years","Projected Population","Number",54579
"Connecticut","09",2025,"Female","80 to 84 years","Projected Population","Percent",2.84
"Connecticut","09",2025,"Female","85 to 89 years","Projected Population","Number",33171
"Connecticut","09",2025,"Female","85 to 89 years","Projected Population","Percent",1.73
"Connecticut","09",2025,"Female","90 years and Over","Projected Population","Number",29459
"Connecticut","09",2025,"Female","90 years and Over","Projected Population","Percent",1.54
"Connecticut","09",2025,"Male","Total","Projected Population","Number",1827319
"Connecticut","09",2025,"Male","Total","Projected Population","Percent",48.78
"Connecticut","09",2025,"Male","0 to 4 years","Projected Population","Number",98149
"Connecticut","09",2025,"Male","0 to 4 years","Projected Population","Percent",5.37
"Connecticut","09",2025,"Male","5 to 9 years","Projected Population","Number",99246
"Connecticut","09",2025,"Male","5 to 9 years","Projected Population","Percent",5.43
"Connecticut","09",2025,"Male","10 to 14 years","Projected Population","Number",102081
"Connecticut","09",2025,"Male","10 to 14 years","Projected Population","Percent",5.59
"Connecticut","09",2025,"Male","15 to 19 years","Projected Population","Number",121176
"Connecticut","09",2025,"Male","15 to 19 years","Projected Population","Percent",6.63
"Connecticut","09",2025,"Male","20 to 24 years","Projected Population","Number",126312
"Connecticut","09",2025,"Male","20 to 24 years","Projected Population","Percent",6.91
"Connecticut","09",2025,"Male","25 to 29 years","Projected Population","Number",113408
"Connecticut","09",2025,"Male","25 to 29 years","Projected Population","Percent",6.21
"Connecticut","09",2025,"Male","30 to 34 years","Projected Population","Number",109491
"Connecticut","09",2025,"Male","30 to 34 years","Projected Population","Percent",5.99
"Connecticut","09",2025,"Male","35 to 39 years","Projected Population","Number",107372
"Connecticut","09",2025,"Male","35 to 39 years","Projected Population","Percent",5.88
"Connecticut","09",2025,"Male","40 to 44 years","Projected Population","Number",120308
"Connecticut","09",2025,"Male","40 to 44 years","Projected Population","Percent",6.58
"Connecticut","09",2025,"Male","45 to 49 years","Projected Population","Number",112461
"Connecticut","09",2025,"Male","45 to 49 years","Projected Population","Percent",6.15
"Connecticut","09",2025,"Male","50 to 54 years","Projected Population","Number",112680
"Connecticut","09",2025,"Male","50 to 54 years","Projected Population","Percent",6.17
"Connecticut","09",2025,"Male","55 to 59 years","Projected Population","Number",124159
"Connecticut","09",2025,"Male","55 to 59 years","Projected Population","Percent",6.79
"Connecticut","09",2025,"Male","60 to 64 years","Projected Population","Number",129471
"Connecticut","09",2025,"Male","60 to 64 years","Projected Population","Percent",7.09
"Connecticut","09",2025,"Male","65 to 69 years","Projected Population","Number",118508
"Connecticut","09",2025,"Male","65 to 69 years","Projected Population","Percent",6.49
"Connecticut","09",2025,"Male","70 to 74 years","Projected Population","Number",90353
"Connecticut","09",2025,"Male","70 to 74 years","Projected Population","Percent",4.94
"Connecticut","09",2025,"Male","75 to 79 years","Projected Population","Number",67233
"Connecticut","09",2025,"Male","75 to 79 years","Projected Population","Percent",3.68
"Connecticut","09",2025,"Male","80 to 84 years","Projected Population","Number",41147
"Connecticut","09",2025,"Male","80 to 84 years","Projected Population","Percent",2.25
"Connecticut","09",2025,"Male","85 to 89 years","Projected Population","Number",20930
"Connecticut","09",2025,"Male","85 to 89 years","Projected Population","Percent",1.15
"Connecticut","09",2025,"Male","90 years and Over","Projected Population","Number",12834
"Connecticut","09",2025,"Male","90 years and Over","Projected Population","Percent",0.7
"Fairfield County","09001",2015,"All","Total","Projected Population","Number",932377
"Fairfield County","09001",2015,"All","Total","Projected Population","Percent",25.58
"Fairfield County","09001",2015,"All","0 to 4 years","Projected Population","Number",51895
"Fairfield County","09001",2015,"All","0 to 4 years","Projected Population","Percent",5.57
"Fairfield County","09001",2015,"All","5 to 9 years","Projected Population","Number",57944
"Fairfield County","09001",2015,"All","5 to 9 years","Projected Population","Percent",6.21
"Fairfield County","09001",2015,"All","10 to 14 years","Projected Population","Number",64412
"Fairfield County","09001",2015,"All","10 to 14 years","Projected Population","Percent",6.91
"Fairfield County","09001",2015,"All","15 to 19 years","Projected Population","Number",68806
"Fairfield County","09001",2015,"All","15 to 19 years","Projected Population","Percent",7.38
"Fairfield County","09001",2015,"All","20 to 24 years","Projected Population","Number",54719
"Fairfield County","09001",2015,"All","20 to 24 years","Projected Population","Percent",5.87
"Fairfield County","09001",2015,"All","25 to 29 years","Projected Population","Number",45826
"Fairfield County","09001",2015,"All","25 to 29 years","Projected Population","Percent",4.91
"Fairfield County","09001",2015,"All","30 to 34 years","Projected Population","Number",56855
"Fairfield County","09001",2015,"All","30 to 34 years","Projected Population","Percent",6.1
"Fairfield County","09001",2015,"All","35 to 39 years","Projected Population","Number",59024
"Fairfield County","09001",2015,"All","35 to 39 years","Projected Population","Percent",6.33
"Fairfield County","09001",2015,"All","40 to 44 years","Projected Population","Number",63625
"Fairfield County","09001",2015,"All","40 to 44 years","Projected Population","Percent",6.82
"Fairfield County","09001",2015,"All","45 to 49 years","Projected Population","Number",72208
"Fairfield County","09001",2015,"All","45 to 49 years","Projected Population","Percent",7.74
